id,name,review_count,categories,subcate,rate,location,phone,latitude,longitude 
814,Cradle of Aviation Museum,71,Tourist Attraction,Museums,4.0,Charles Lindbergh Blvd,(516) 572-4111,40.7285,-73.5973
815,The New York Chinese Scholar's Garden,38,Tourist Attraction,Botanical Gardens,4.5,1000 Richmond Ter,(718) 425-3504,40.642,-74.1043
816,Sugartooth Tours,25,Tourist Attraction,Tours,4.5,"New York, NY 10018",(917) 856-6761,40.7559,-73.9936
817,Zuccotti Park,50,Tourist Attraction,Parks,4.0,Liberty St,(212) 442-4500,40.7093,-74.0114
818,The Conservatory Garden,116,Tourist Attraction,Parks,5.0,E 105th St And 5th Ave,(212) 860-1382,40.7936,-73.9516
819,General Grant Memorial,71,Tourist Attraction,Museums,4.5,W 122nd Street & Riverside Dr,(212) 666-1640,40.8125,-73.9631
820,NYC Horse Carriage Rides,44,Tourist Attraction,Tours,5.0,7 Ave 59 St,(516) 606-6212,40.7669,-73.9791
821,New 2 NY Tours,13,Tourist Attraction,Tours,4.5,"New York, NY 10022",(516) 426-7015,40.756,-73.9699
822,Queens Botanical Garden,115,Tourist Attraction,Botanical Gardens,3.5,43-50 Main St,(718) 886-3800,40.7515,-73.8262
823,Ellis Island,79,Tourist Attraction,Landmarks & Historical Buildings,4.5,"New York, NY 10004",,40.7045,-74.0115
824,Untermyer Park and Gardens,75,Tourist Attraction,Parks,4.5,945 N Broadway,(914) 613-4502,40.9658,-73.8856
825,Scott's Pizza Tours,279,Tourist Attraction,Food Tours,5.0,"New York, NY 10001",(212) 913-9903,40.7502,-73.997
826,Queens Borough Hall,23,Tourist Attraction,Landmarks & Historical Buildings,3.0,120-55 Queens Blvd,(718) 298-0622,40.714,-73.8296
827,Merchant's House Museum,74,Tourist Attraction,Museums,4.5,29 E 4th St,(212) 777-1089,40.7275,-73.9925
828,Columbus Circle,171,Tourist Attraction,Landmarks & Historical Buildings,4.0,1849 Broadway St,(212) 247-4401,40.7681,-73.9819
829,Riverside Park Conservancy,129,Tourist Attraction,Parks,4.5,475 Riverside Drive,(212) 870-3070,40.8111,-73.9639
830,Brooklyn Bridge Park,488,Tourist Attraction,Parks,4.5,334 Furman St,(718) 222-9939,40.7016,-73.9972
831,Museum of Contemporary African Diasporan Arts - MoCADA,13,Tourist Attraction,Museums,3.5,80 Hanson Pl,(718) 230-0492,40.6854,-73.9744
832,Queens Zoo,155,Tourist Attraction,Zoos,4.0,5351 111th St,(718) 271-1500,40.7433,-73.8511
833,Christopher Park,13,Tourist Attraction,Parks,3.5,"New York, NY 10014",,40.7338,-74.0014
834,Food On Foot Tours,54,Tourist Attraction,Food Tours,4.5,"New York, NY 10001",(631) 491-0326,40.7502,-73.997
835,Bike the Big Apple Tours,18,Tourist Attraction,Tours,5.0,"New York, NY 10065",(347) 878-9809,40.7645,-73.963
836,Prospect Park,541,Tourist Attraction,Parks,4.5,95 Prospect Park W,(718) 965-8951,40.6655,-73.974
837,Brooklyn Children's Museum,155,Tourist Attraction,Children's Museums,4.0,145 Brooklyn Ave,(718) 735-4400,40.6745,-73.9439
838,Yeshiva University Museum,5,Tourist Attraction,Museums,4.0,15 W 16th St,(212) 294-8330,40.738,-73.9939
839,Kissena Park,82,Tourist Attraction,Parks,4.5,164th St & Oak Ave,,40.7498,-73.8029
840,New York Top Tour,1,Tourist Attraction,Tours,4.0,570 9th Ave,(310) 925-8417,40.7579,-73.9926
841,Union Square,403,Tourist Attraction,Parks,4.0,201 Park Ave S,,40.7353,-73.9908
842,Hamilton Grange National Memorial,34,Tourist Attraction,Landmarks & Historical Buildings,4.0,414 W 141st St,(646) 548-2310,40.8214,-73.9473
843,Better Adventures,4,Tourist Attraction,Tours,4.5,244 5th Ave,(212) 209-3370,40.7446,-73.9877
844,South Street Seaport Museum,19,Tourist Attraction,Museums,3.5,12 Fulton St,(212) 748-8600,40.7066,-74.0037
845,Castle Clinton,26,Tourist Attraction,Landmarks & Historical Buildings,3.5,Battery Park,(212) 344-7220,40.7038,-74.0169
846,Paley Park,39,Tourist Attraction,Parks,4.5,3 E 53rd,,40.7602,-73.9749
847,Frying Pan,1404,Tourist Attraction,Bars,4.0,Pier 66 Maritime,(212) 989-6363,40.7521,-74.009
848,Circle Line Sightseeing Cruises,669,Tourist Attraction,Tours,3.5,Pier 83 W 42nd St,(212) 563-3200,40.763,-74.002
849,Central Park Zoo,460,Tourist Attraction,Zoos,3.5,64TH St And Fifth Ave,(212) 439-6500,40.7676,-73.971
850,Verrazano-Narrows Bridge,120,Tourist Attraction,Landmarks & Historical Buildings,3.5,"Staten Island, NY 10305",,40.607,-74.0431
851,Forest Park,73,Tourist Attraction,Parks,4.0,Myrtle Avenue & Woodhaven Blvd,,40.7075,-73.8401
852,Astoria Park,266,Tourist Attraction,Parks,4.5,"Astoria, NY 11102",,40.7791,-73.9226
853,NY Fun Music Tour,3,Tourist Attraction,Tours,4.0,"New York, NY",(347) 581-8119,,
854,Federal Reserve Bank of New York,28,Tourist Attraction,Banks & Credit Unions,3.5,33 Liberty St,(212) 720-5000,40.7083,-74.0088
855,MoMA Design and Book Store,55,Tourist Attraction,Bookstores,3.5,11 W 53rd St,(212) 708-9700,40.7615,-73.9774
856,MoMA PS1,328,Tourist Attraction,Museums,4.0,22-25 Jackson Ave,(718) 784-2084,40.7455,-73.9474
857,Flushing Meadows Corona Park,178,Tourist Attraction,Parks,4.0,11101 Corona Ave,(718) 760-6565,40.7397,-73.8408
858,Sheffield Island Cruises,15,Tourist Attraction,Boat Tours,4.5,4 N Water St,(203) 838-9444,41.0993,-73.4157
859,Circle Line Statue of Liberty Ferry,35,Tourist Attraction,Landmarks & Historical Buildings,3.5,"Pier 83, W 42nd St",(212) 269-5755,40.7611,-73.999
860,Blazing Saddles Bike Rentals & Tours,24,Tourist Attraction,Bike Rentals,4.5,93 South St,(917) 440-9094,40.7059,-74.003
861,Newark Museum,60,Tourist Attraction,Museums,4.0,49 Washington St,(973) 596-6550,40.7431,-74.1717
862,New-York Historical Society,172,Tourist Attraction,Libraries,4.0,170 Central Park W,(212) 873-3400,40.7794,-73.9741
863,Sheep Meadow,83,Tourist Attraction,Parks,4.5,W 67th St,(212) 310-6600,40.7719,-73.9751
864,Fort Washington Park,28,Tourist Attraction,Parks,4.5,Fort Washington Park,,40.8472,-73.9398
865,High Quality Tours,10,Tourist Attraction,Bus Tours,4.0,37 W 26th St,(212) 531-1212,40.7446,-73.9904
866,Queens Museum,139,Tourist Attraction,Museums,4.0,New York City Building,(718) 592-9700,40.7456,-73.8469
867,National Museum of the American Indian,159,Tourist Attraction,Museums,4.0,1 Bowling Grn,(212) 514-3700,40.7045,-74.0142
868,Herald Square,75,Tourist Attraction,Parks,3.0,Broadway & 34th St,(212) 719-3434,40.7499,-73.9879
869,Urban oyster tours,1,Tourist Attraction,Food Tours,5.0,Midtown,,40.7588,-73.9729
870,Ahoy New York Food Tours,38,Tourist Attraction,Food Tours,5.0,"New York, NY 10023",(646) 681-3994,40.7218,-74.0094
871,Time Warner Center,119,Tourist Attraction,Landmarks & Historical Buildings,4.0,10 Columbus Cir,(212) 823-6300,40.7686,-73.9831
872,Flatiron Plaza,13,Tourist Attraction,Parks,4.0,23RD St And 5th Ave,,40.7419,-73.9891
873,Inwood Hill Park,79,Tourist Attraction,Parks,4.5,Dyckman St,(212) 304-2278,40.8714,-73.9256
874,Father Demo Square,26,Tourist Attraction,Parks,4.0,Bleecker St & 6th Ave,,40.7297,-74.0021
875,Tremont Park,1,Tourist Attraction,Parks,3.0,175 St To E Tremont Ave,(718) 299-4699,40.8454,-73.8911
876,Museum of the City of New York,230,Tourist Attraction,Museums,4.0,1220 5th Ave,(212) 534-1672,40.7925,-73.9519
877,Vincent R. Casciano Memorial Bridge,10,Tourist Attraction,Landmarks & Historical Buildings,2.0,"Newark, NJ",,40.6938,-74.1135
878,Carroll Park,16,Tourist Attraction,Parks,4.0,375 Court St,,40.6807,-73.9965
879,Stone Barns Center for Food and Agriculture,58,Tourist Attraction,Community Service/Non-Profit,4.0,630 Bedford Rd,(914) 366-6200,41.1031,-73.8291
880,Carl Schurz Park,142,Tourist Attraction,Dog Parks,4.5,1624 York Ave,(212) 459-4455,40.7744,-73.9442
881,The Noguchi Museum,118,Tourist Attraction,Art Tours,4.5,9-01 33rd Rd,(718) 204-7088,40.7668,-73.9383
882,On Location Tours,132,Tourist Attraction,Tours,4.5,555 8th Ave,(212) 913-9780,40.7548,-73.992
883,Tremont Park,1,Tourist Attraction,Parks,3.0,"Bronx, NY 10457",(718) 299-4699,40.8485,-73.9022
884,Prospect Park Zoo,149,Tourist Attraction,Zoos,4.0,450 Flatbush Ave,(718) 399-7339,40.6656,-73.9649
885,Statue Cruises,248,Tourist Attraction,Tours,3.0,1 Audrey Zapp Dr,(877) 523-9849,40.7012,-74.0141
886,Children's Museum of Manhattan,189,Tourist Attraction,Party & Event Planning,3.0,212 W 83rd St,(212) 721-1223,40.7859,-73.9773
887,Rocks Off Concert Cruise,42,Tourist Attraction,Music Venues,4.0,2430 Fdr Dr,(917) 524-8666,40.736,-73.9748
888,Tompkins Square Park,170,Tourist Attraction,Parks,3.5,500 E 9th St,(212) 387-7685,40.7276,-73.9838
889,Big Taxi Tours,18,Tourist Attraction,Tours,2.0,333 5th Ave,(212) 685-8687,40.7475,-73.985
890,smarTours,78,Tourist Attraction,Travel Services,4.0,545 8th Ave,(800) 337-7773,40.7545,-73.9922
891,The New York Aquarium,414,Tourist Attraction,Aquariums,2.5,602 Surf Ave & W 8th St,(718) 265-3400,40.574,-73.9756
892,Citi Bike,411,Tourist Attraction,Bike Rentals,2.5,5th Ave & 59th St,(855) 245-3311,40.7642,-73.9733
893,Hudson River Park,161,Tourist Attraction,Parks,4.5,59TH St,(212) 627-2020,40.7536,-74.0076
894,George Washington Bridge,221,Tourist Attraction,Landmarks & Historical Buildings,3.5,"New York, NY 10033",,40.8516,-73.9525
895,The Jewish Museum,97,Tourist Attraction,Museums,4.0,1109 5th Ave,(212) 423-3200,40.7853,-73.9573
896,East River State Park,71,Tourist Attraction,Parks,3.5,90 Kent Ave,(347) 297-9470,40.7215,-73.9619
897,Central Park Sightseeing,191,Tourist Attraction,Tours,3.0,56 W 56th St,(212) 975-0785,40.7631,-73.9771
898,New Museum of Contemporary Art,340,Tourist Attraction,Museums,3.0,235 Bowery,(212) 219-1222,40.7223,-73.9928
899,Fort Greene Park,99,Tourist Attraction,Parks,4.0,85 S Oxford St,(718) 222-1461,40.6915,-73.9753
900,Hornblower Cruises & Events - Pier 40,344,Tourist Attraction,Boat Charters,4.0,353 W St,(212) 337-0001,40.7306,-74.0112
901,Riverbank State Park,91,Tourist Attraction,Parks,4.0,679 Riverside Dr,(212) 694-3600,40.827,-73.9523
902,OnBoard New York Tours,69,Tourist Attraction,Tours,4.0,7th Ave & W 53rd st,(212) 852-4821,40.763,-73.9819
903,Paley Center For Media,49,Tourist Attraction,Museums,3.5,25 W 52nd St,(212) 621-6880,40.7605,-73.9777
904,L & L Travel,138,Tourist Attraction,Bus Tours,2.0,87 Bowery,(212) 226-6628,40.7169,-73.9952
905,"Cooper Hewitt, Smithsonian Design Museum",218,Tourist Attraction,Museums,4.0,2 E 91st St,(212) 849-8400,40.7844,-73.9578
906,Gateway National Recreation Area,17,Tourist Attraction,Parks,4.0,58 N Hartshorne Rd,(732) 872-0115,40.4352,-73.9871
907,Lieutenant Joseph Petrosino Park,8,Tourist Attraction,Parks,3.0,Lafayette St & Kenmare St,,40.7216,-73.9978
908,E-World Travel & Tours,142,Tourist Attraction,Tours,2.5,48 Bowery St,(212) 385-1688,40.7157,-73.9966
909,Crescent Bike,2,Tourist Attraction,Bike Rentals,1.0,320 57th St,(646) 600-2831,40.7672,-73.9845
910,Neue Galerie New York,223,Tourist Attraction,Museums,3.5,1048 5th Ave,(212) 628-6200,40.7813,-73.9603
911,Gray Line New - York Tours,661,Tourist Attraction,Boat Tours,2.0,777 8th Ave,(212) 445-0848,40.7608,-73.9876
912,CitySights NY,198,Tourist Attraction,Tours,2.5,234 W 42nd St,(212) 812-2700,40.7565,-73.9883
913,Big Bus Tour - New York,503,Tourist Attraction,Bus Tours,2.5,"New York, NY 10156",(212) 685-8687,40.76,-73.9842
914,City Hall Park,84,Tourist Attraction,Parks,4.0,31 Chambers St,(212) 788-8590,40.7134,-74.0046
915,NY Skyride,194,Tourist Attraction,Bus Tours,1.0,350 5th Ave,(212) 279-9777,40.7486,-73.9862
916,Jacob Riis Park,127,Tourist Attraction,Beaches,3.5,Jacob Riis Park Rd,(718) 318-4300,40.5661,-73.8735
917,Bike Rent NYC,80,Tourist Attraction,Bike Rentals,3.5,117 W 58th St,(212) 956-9646,40.7654,-73.9773
918,Branch Brook Park,52,Tourist Attraction,Parks,4.0,115 Clifton Ave,(973) 268-3500,40.7536,-74.1783
919,TopView Sightseeing,235,Tourist Attraction,Bus Tours,1.5,2 E 42nd St,(212) 664-0300,40.7532,-73.9807
920,Viator Associates,21,Tourist Attraction,Tours,2.0,234 W 44th St,(212) 921-3800,40.7579,-73.9875
921,City Sightseeing New York,85,Tourist Attraction,Tours,2.0,455 12th Ave,(212) 445-7599,40.7597,-74.0039
922,Lincoln Tunnel,153,Tourist Attraction,Landmarks & Historical Buildings,3.0,500 Kennedy Blvd E,(800) 221-9903,40.7632,-74.0096
923,Gantry Plaza State Park,305,Tourist Attraction,Parks,5.0,474 48th Ave,(718) 786-6385,40.7449,-73.9583
924,Go New York Tours,192,Tourist Attraction,Tours,1.5,501 5th Ave,(212) 664-0300,40.7532,-73.9809
925,Tuthilltown Spirits Distillery,99,Tourist Attraction,Tours,4.0,14 Grist Mill Ln,(845) 255-1527,41.6872,-74.1754
926,Fort Tilden,68,Tourist Attraction,Parks,4.0,Fort Tilden,(718) 318-4300,40.5615,-73.8904
927,Hispanic Society of America,28,Tourist Attraction,Museums,4.5,613 W 155th St,(212) 926-2234,40.8335,-73.9465
928,David Zwirner,99,Galleries,Art Galleries,4.0,525 W 19th St,(212) 727-2070,40.7458,-74.007
929,Eli Klein Gallery,8,Galleries,Art Galleries,4.5,398 West St,(212) 255-4388,40.7334,-74.0099
930,The THNK1994 Museum,5,Galleries,Art Galleries,4.0,1436 Atlantic Ave,(347) 334-0946,40.678,-73.9445
931,The Pace Gallery,15,Galleries,Art Galleries,4.0,534 W 25th St,(212) 929-7000,40.7495,-74.005
932,Pop International Galleries,10,Galleries,Art Galleries,5.0,195 Bowery,(212) 533-4262,40.7208,-73.9934
933,Krause Gallery,2,Galleries,Art Galleries,5.0,149 Orchard St,(212) 777-7799,40.7206,-73.9891
934,Barsky Gallery,47,Galleries,Venues & Event Spaces,5.0,49 Harrison St,(201) 646-0908,40.7371,-74.0425
935,Gagosian,42,Galleries,Art Galleries,4.0,555 W 24th St,(212) 741-1111,40.7493,-74.0055
936,Floating Mountain,26,Galleries,Tea Rooms,5.0,239 W 72nd St,(646) 852-6555,40.7794,-73.983
937,Deitch Projects,7,Galleries,Art Galleries,5.0,76 Grand St,(212) 343-7300,40.722,-74.0025
938,Agora Gallery,13,Galleries,Art Galleries,4.5,530 W 25th St,(212) 226-4151,40.7495,-74.0047
939,The Living Gallery,10,Galleries,Art Galleries,4.0,1094 Broadway,,40.6942,-73.9306
940,Lilac Gallery,2,Galleries,Art Galleries,5.0,144 5th Ave,(212) 255-2925,40.7394,-73.9915
941,Perrotin,15,Galleries,Art Galleries,4.5,130 Orchard St,(212) 812-2902,40.7196,-73.9893
942,AFA,14,Galleries,Art Galleries,4.5,54 Greene St,(212) 226-7374,40.7222,-74.0015
943,ArtWorld,19,Galleries,Art Galleries,5.0,103-07 Metropolitan Ave,(718) 793-7200,40.7105,-73.8495
944,Andrea Rosen Gallery,5,Galleries,Art Galleries,5.0,525 W 24th St,(212) 627-6000,40.7491,-74.005
945,Gagosian,18,Galleries,Art Galleries,4.0,522 W 21st St,(212) 741-1717,40.7468,-74.0065
946,Look North Gallery,1,Galleries,Art Galleries,5.0,275 Conover St,(347) 721-3995,40.6751,-74.0176
947,Proto Gallery,1,Galleries,Art Galleries,5.0,66 Willow Ave,(201) 706-8337,40.7372,-74.035
948,Mary Boone Gallery,5,Galleries,Art Galleries,4.0,541 W 24th St,(212) 752-2929,40.7491,-74.0051
949,Gitler & ______,3,Galleries,Art Galleries,3.5,3629 Broadway,,40.8293,-73.9485
950,Tina Kim Gallery,2,Galleries,Art Galleries,5.0,525 West 21st St,(212) 716-1100,40.747,-74.0062
951,Pierogi,7,Galleries,Art Galleries,4.5,155 Suffolk St,(646) 429-9073,40.7208,-73.9854
952,The James Gallery,1,Galleries,Art Galleries,5.0,365 Fifth Ave,(212) 817-7141,40.7487,-73.9842
953,Bottleneck Gallery,8,Galleries,Art Galleries,4.5,60 Broadway,,40.7103,-73.9663
954,Gagosian,10,Galleries,Art Galleries,4.0,980 Madison Ave,(212) 744-2313,40.7747,-73.9635
955,The Invisible Dog,15,Galleries,Art Galleries,4.0,51 Bergen St,(347) 560-3641,40.6873,-73.9911
956,Clover's Fine Art Gallery,47,Galleries,Art Galleries,4.5,338 Atlantic Ave,(718) 625-2121,40.6877,-73.9876
957,Local Project,3,Galleries,Art Galleries,4.5,11-27 44th Rd,(646) 298-0969,40.7493,-73.9483
958,The Journal Gallery,2,Galleries,Art Galleries,4.0,106 N 1st St,(718) 218-7148,40.7156,-73.9629
959,Taglialatella Galleries,5,Galleries,Art Galleries,4.5,229 10th Ave,(212) 367-0881,40.7482,-74.0042
960,Hauser & Wirth,7,Galleries,Art Galleries,4.5,548 W 22nd Street,(212) 790-3900,40.7452,-74.007
961,Figureworks,4,Galleries,Art Galleries,4.5,168 N 6th St,(718) 486-7021,40.717,-73.9582
962,Westbeth Gallery,2,Galleries,Art Galleries,4.5,55 Bethune St,(212) 989-4650,40.7369,-74.0085
963,Five Myles,2,Galleries,Art Galleries,5.0,558 St Johns Pl,(718) 783-4438,40.6726,-73.9596
964,Superchief Gallery,3,Galleries,Art Galleries,5.0,1628 Jefferson Ave,(646) 281-3189,40.6983,-73.9067
965,Bitforms Gallery,4,Galleries,Art Galleries,5.0,131 Allen St,(480) 260-3823,40.7201,-73.9903
966,Mela Foundation,15,Galleries,Art Galleries,3.5,275 Church St,(212) 219-3019,40.7185,-74.0048
967,Mr Brainwash Presents Icons,5,Galleries,Art Galleries,4.5,415 W 13th St,,40.7409,-74.0065
968,Stray Kat Gallery,2,Galleries,Art Galleries,3.0,450 W 14th St,,40.7419,-74.0076
969,Westwood Gallery NYC,3,Galleries,Art Galleries,5.0,262 Bowery,(212) 925-5700,40.7233,-73.9932
970,Side Show Gallery,1,Galleries,Art Galleries,5.0,319 Bedford Ave,(718) 486-8180,40.713,-73.9621
971,Smack Mellon,6,Galleries,Art Galleries,4.0,92 Plymouth St,(718) 834-8761,40.7038,-73.9899
972,LowBrow Artique,5,Galleries,Art Galleries,4.0,143 Central Ave,(718) 366-8181,40.6996,-73.9276
973,ArtWise,2,Galleries,Art Galleries,5.0,135 Plymouth St,(718) 788-0791,40.7038,-73.9883
974,Fuchs Projects,1,Galleries,Art Galleries,5.0,56 Bogart St,(917) 930-8304,40.7057,-73.9332
975,Yve Yang Gallery,1,Galleries,Art Galleries,5.0,532 W 43rd St,(617) 834-5356,40.7609,-73.9967
976,Woodward Gallery,5,Galleries,Art Galleries,5.0,132A Eldridge St,(212) 966-3411,40.7189,-73.9915
977,Gallery of Graphic Arts,2,Galleries,Art Galleries,5.0,1601 York Ave,(212) 988-4731,40.7751,-73.9481
978,Gallery Henoch,4,Galleries,Art Galleries,5.0,555 W 25th St,(917) 305-0003,40.7498,-74.0049
979,Paul Kasmin Gallery,5,Galleries,Art Galleries,4.0,293 10th Ave,(212) 563-4474,40.7502,-74.0027
980,Con Artist Collective,9,Galleries,Social Clubs,5.0,119 Ludlow St,(646) 504-2323,40.7197,-73.9888
981,Last Rites Gallery,10,Galleries,Art Galleries,5.0,325 W 38th St,(212) 560-0666,40.7554,-73.9927
982,Cuchifritos Gallery + Project Space,2,Galleries,Art Galleries,4.5,120 Essex St,(212) 420-9202,40.7264,-73.9854
983,Gallery Brooklyn,1,Galleries,Art Galleries,5.0,351 Van Brunt St,(347) 460-4063,40.677,-74.0129
984,A.I.R. Gallery,2,Galleries,Art Galleries,4.0,155 Plymouth St,(212) 255-6651,40.7038,-73.9867
985,Creativebloch Gallery,4,Galleries,Art Galleries,5.0,"Brooklyn, NY 11251",,40.7034,-73.9698
986,Zurcher Studio,2,Galleries,Art Galleries,5.0,33 Bleecker St,(212) 777-0790,40.7258,-73.9938
987,First Street Gallery,2,Galleries,Art Galleries,4.0,526 W 26th St,(646) 336-8053,40.7502,-74.0044
988,Land Gallery,1,Galleries,Art Galleries,5.0,67 Front St,(917) 670-9322,40.7026,-73.9909
989,Shin Gallery,1,Galleries,Art Galleries,5.0,322 Grand St,(212) 375-1735,40.7173,-73.9906
990,Johannes Vogt Gallery,1,Galleries,Venues & Event Spaces,5.0,958 Madison Ave,(212) 226-6966,40.774,-73.9641
991,Amsterdam Art Gallery,9,Galleries,Art Galleries,4.5,453 Amsterdam Ave,(212) 875-0431,40.7848,-73.9769
992,Eden Fine Art,7,Galleries,Art Galleries,4.5,437 Madison Ave,(212) 888-0177,40.7577,-73.9753
993,440 Gallery,3,Galleries,Art Galleries,4.5,440 6th Ave,(718) 499-3844,40.6678,-73.9843
994,Jack Shainman Gallery,2,Galleries,Art Galleries,4.5,513 W 20th St,(212) 645-1701,40.7462,-74.0062
995,Friedrich Petzel Gallery,7,Galleries,Art Galleries,4.5,456 W 18th St,(212) 680-9467,40.7443,-74.006
996,SHASTYE Art Gallery and Play Space,9,Galleries,Specialty Schools,5.0,26-16 23rd Ave,(917) 608-1658,40.7761,-73.9156
997,Leviticus Fine Art,1,Galleries,Art Galleries,5.0,132 Bedford Ave,(347) 656-1704,40.7163,-73.9594
998,LIK Fine Art SoHo,10,Galleries,Art Galleries,4.0,419 W Broadway,(212) 941-6391,40.7249,-74.0014
999,Sean Kelly,4,Galleries,Art Galleries,5.0,475 Tenth Ave,(212) 239-1181,40.7562,-73.9981
1000,b[x] - space to create,10,Galleries,Shared Office Spaces,5.0,203 Harrison Pl,(347) 762-8588,40.7075,-73.9249
1001,Carter Burden Gallery,6,Galleries,Art Galleries,5.0,548 W 28th St,(212) 564-8405,40.7517,-74.0041
1002,VECTOR Gallery,3,Galleries,Art Galleries,4.5,951 Grand St,(213) 509-4101,40.7132,-73.9365
1003,Panepinto Galleries,3,Galleries,Art Galleries,4.5,70 Hudson St,(201) 521-9000,40.7145,-74.0338
1004,Issyra Gallery,1,Galleries,Art Galleries,5.0,300 Observer Hwy,(917) 922-2690,40.737,-74.0369
1005,Eden Fine Art,14,Galleries,Art Galleries,4.0,470 Broome St,(646) 509-8966,40.7228,-74.0014
1006,Mana Contemporary,21,Galleries,Art Galleries,4.5,888 Newark Ave,(201) 604-2702,40.737,-74.0687
1007,hpgrp Gallery Tokyo,1,Galleries,Art Galleries,4.0,南青山5-7-17,,40.7468,-74.0069
1008,DT 234 Gallery,2,Galleries,Art Galleries,5.0,234 York St,(201) 986-6705,40.717,-74.0446
1009,Blank Space,1,Galleries,Art Galleries,5.0,30 Gansvoort St,(212) 924-2025,40.7393,-74.0057
1010,Wild Project,12,Galleries,Performing Arts,4.5,195 E 3rd St,(212) 228-1195,40.7229,-73.9834
1011,Christopher Henry Gallery,3,Galleries,Art Galleries,4.5,127 Elizabeth St,(212) 244-6006,40.7195,-73.9955
1012,Star Gallery NYC,2,Galleries,Art Galleries,4.0,2 Rivington St,(631) 828-4497,40.7216,-73.9931
1013,Brooklyn Waterfront Artists Coalition,12,Galleries,Art Galleries,4.5,499 Van Brunt St,(718) 596-2507,40.6738,-74.0162
1014,Robin Rice Gallery,2,Galleries,Art Galleries,3.0,325 W 11th St,(212) 366-6660,40.7357,-74.0075
1015,RePopRoom,2,Galleries,Art Galleries,4.0,527 W 29th St,(917) 639-3362,40.7522,-74.0027
1016,KAI Gallery,1,Galleries,Art Galleries,5.0,78 Grand St,(212) 966-5754,40.722,-74.0025
1017,WalkThrough,3,Galleries,Art Galleries,4.0,409 Keap St,(347) 449-0176,40.7111,-73.9534
1018,ARTHOUSE.NYC,26,Galleries,Art Galleries,4.5,79-81 White St,(800) 420-5590,40.7175,-74.0024
1019,Soho Photo Gallery,5,Galleries,Art Galleries,4.0,15 White St,(212) 226-8571,40.719,-74.0056
1020,Trestle Gallery,3,Galleries,Art Galleries,5.0,850 3rd Ave,(718) 858-9069,40.6734,-73.9895
1021,Orchid Art Gallery,16,Galleries,Art Galleries,5.0,55 7th Ave S,(212) 203-1846,40.7315,-74.0038
1022,UrbanGlass,10,Galleries,Art Schools,4.0,647 Fulton St,(718) 625-3685,40.6883,-73.9791
1023,AlterWork studios,1,Galleries,Art Space Rentals,5.0,30-09 35th Ave,(917) 745-0137,40.7585,-73.9288
1024,Tribeca Art Factory,4,Galleries,Art Galleries,4.0,55 Murray St,(917) 597-9416,40.7144,-74.0098
1025,Margo Feiden Galleries,3,Galleries,Art Galleries,5.0,15 E 9th St,(212) 677-5330,40.7326,-73.9948
1026,OKABALOO FunArtFaktory - The Arts & Fun Gallery,6,Galleries,Venues & Event Spaces,5.0,35-52 32nd St,(718) 274-2200,40.7565,-73.929
1027,Cloud Gallery,10,Galleries,Printing Services,4.5,66 W Broadway,(212) 619-2180,40.7146,-74.0102
1028,Mike Weiss Gallery,2,Galleries,Art Galleries,5.0,520 W 24th St,(212) 691-6899,40.7488,-74.0048
1029,Allouche Gallery,4,Galleries,Art Galleries,5.0,82 Gansevoort St,(212) 966-6675,40.7392,-74.0082
1030,Fredericks Freiser Gallery,2,Galleries,Art Galleries,3.0,536 W 24th St,(212) 633-6555,40.7503,-74.0083
1031,Heller Gallery,1,Galleries,Art Galleries,5.0,303 10th Ave,(212) 414-4014,40.7507,-74.0024
1032,Brooklyn Metal Works,2,Galleries,Art Galleries,5.0,640 Dean St,(347) 762-4757,40.6803,-73.9691
1033,Novo Arts,1,Galleries,Art Galleries,5.0,57 E 11th St,(212) 674-3093,40.7331,-73.9924
1034,Gallery Nine5,5,Galleries,Art Galleries,4.0,24 Spring St,(212) 965-9995,40.7213,-73.9953
1035,Marianne Boesky Gallery,6,Galleries,Art Galleries,3.5,509 W 24th St,(212) 680-9889,40.7488,-74.0042
1036,Robert Mann Gallery,3,Galleries,Art Galleries,4.5,525 W 26th St,(212) 989-7600,40.7503,-74.0041
1037,Sperone Westwater,5,Galleries,Art Galleries,4.5,257 Bowery,(212) 999-7337,40.7231,-73.9926
1038,Jadite Galleries,1,Galleries,Art Galleries,5.0,413 W 50th St,(212) 315-2740,40.7639,-73.9897
1039,The 4th Street Photo Gallery,1,Galleries,Art Galleries,5.0,67 E 4th St,(212) 673-1021,40.7268,-73.9906
1040,The Hole,10,Galleries,Art Galleries,3.5,312 Bowery,(212) 466-1100,40.7251,-73.9927
1041,Gemini G.E.L. At Joni Moisant Weyl,1,Galleries,Art Galleries,5.0,535 W 24th St,(212) 249-3324,40.7465,-74.0094
1042,The Petsos Collection at Alive Inside Gallery,1,Galleries,Art Galleries,5.0,237 Eldridge St,(347) 400-0730,40.7225,-73.9899
1043,New Art Dealers Alliance,1,Galleries,Art Galleries,5.0,504 W 22nd St,(212) 594-0883,40.7471,-74.0051
1044,ACA Galleries,4,Galleries,Art Galleries,5.0,529 W 20th St,(212) 206-8080,40.7466,-74.0069
1045,The Arsenal Gallery,4,Galleries,Landmarks & Historical Buildings,5.0,14 East 60th St,(212) 310-6600,40.7644,-73.9717
1046,Klompching Gallery,1,Galleries,Art Galleries,5.0,89 Water St,(212) 796-2070,40.7033,-73.9911
